cancer_type	True_SNR	Estimated_SNR	Recommendation	well_corrected_samples	total_sample	SNR_cutoff_0.1_passed
Biliary-AdenoCA	0.20934854506179798	0.20764295820274267	Repaired	20	35	Passed
Bladder-TCC	0.620014075947237	0.6295774633448327	Repaired	20	23	Passed
Bone-Osteosarc	0.10043349636956958	0.10061008616365341	Repaired	19	38	Passed
Breast-AdenoCA	0.15960429049784322	0.1600657663322334	Repaired	116	198	Passed
CNS-GBM	0.32559608465340617	0.3235339362211864	Unrepaired	41	41	Passed
CNS-Medullo	0.042812233762642773	0.04275344276661468	Unrepaired	49	146	Not Passed
CNS-PiloAstro	0.007466117627752329	0.007488393457441242	Unrepaired	1	89	Not Passed
ColoRect-AdenoCA	0.5146475699836193	0.48369520400661237	Unrepaired	59	60	Passed
Eso-AdenoCA	0.5082863596152362	0.5050288258932628	Unrepaired	83	98	Passed
Head-SCC	0.3639353714283493	0.3651167013221922	Repaired	35	57	Passed
Kidney-ChRCC	0.06970881397331072	0.0708142650532583	Unrepaired	24	45	Not Passed
Kidney-RCC	0.14839569832577554	0.14796162250976486	Repaired	107	144	Passed
Liver-HCC	0.23948346495128237	0.23889111528305024	Repaired	307	326	Passed
Lung-AdenoCA	0.4418328399947078	0.44393025151904053	Repaired	30	38	Passed
Lung-SCC	0.853623042999164	0.848709160740343	Repaired	48	48	Passed
Lymph-BNHL	0.20493126863777028	0.20332053697647384	Unrepaired	61	107	Passed
Lymph-CLL	0.07390537355281007	0.07434795717293843	Unrepaired	50	95	Not Passed
Myeloid-MPN	0.058779476964018605	0.058962045756909914	Unrepaired	20	56	Not Passed
Ovary-AdenoCA	0.19657799055178332	0.1961098452064897	Repaired	62	113	Passed
Panc-AdenoCA	0.2231570982253031	0.22327719809893173	Unrepaired	227	241	Passed
Panc-Endocrine	0.0684248429359215	0.06886901049413338	Repaired	33	85	Not Passed
Prost-AdenoCA	0.11621309680462913	0.11630342655231063	Unrepaired	222	286	Passed
Skin-Melanoma	0.4171220497280138	0.06645087281060003	Repaired	99	107	Not Passed
Stomach-AdenoCA	0.34664414980192526	0.34726684019619924	Unrepaired	59	75	Passed
Thy-AdenoCA	0.044004400440044	0.04401980902415994	Unrepaired	12	48	Not Passed
Uterus-AdenoCA	0.25010508681219584	0.24793966113725896	Unrepaired	48	51	Passed
